日期,幣別,即期買入匯率,即期賣出匯率
20211230,USD,27.63,27.73
20211230,HKD,3.519,3.579
20211230,GBP,37.1,37.5
20211230,AUD,19.98,20.18
20211230,CAD,21.52,21.72
20211230,SGD,20.37,20.55
20211230,CHF,30.05,30.3
20211230,JPY,0.2385,0.2425
20211230,ZAR,1.693,1.773
20211230,SEK,3.02,3.12
20211230,NZD,18.79,18.99
20211230,THB,0.8147,0.8547
20211230,EUR,31.12,31.52
20211230,CNY,4.319,4.369
20211229,USD,27.61,27.71
20211229,HKD,3.517,3.577
20211229,GBP,36.96,37.36
20211229,AUD,19.9,20.1
20211229,CAD,21.48,21.68
20211229,SGD,20.34,20.52
20211229,CHF,30.01,30.26
20211229,JPY,0.2387,0.2427
20211229,ZAR,1.715,1.795
20211229,SEK,3,3.1
20211229,NZD,18.71,18.91
20211229,THB,0.81,0.85
20211229,EUR,31.05,31.45
20211229,CNY,4.316,4.366
20211228,USD,27.635,27.735
20211228,HKD,3.52,3.58
20211228,GBP,37.01,37.41
20211228,AUD,19.93,20.13
20211228,CAD,21.54,21.74
20211228,SGD,20.36,20.54
20211228,CHF,30.02,30.27
20211228,JPY,0.2391,0.2431
20211228,ZAR,1.739,1.819
20211228,SEK,3,3.1
20211228,NZD,18.76,18.96
20211228,THB,0.8104,0.8504
20211228,EUR,31.14,31.54
20211228,CNY,4.317,4.367
20211227,USD,27.66,27.76
20211227,HKD,3.522,3.582
20211227,GBP,36.98,37.38
20211227,AUD,19.93,20.13
20211227,CAD,21.52,21.72
20211227,SGD,20.36,20.54
20211227,CHF,30.03,30.28
20211227,JPY,0.2401,0.2441
20211227,ZAR,1.744,1.824
20211227,SEK,2.99,3.09
20211227,NZD,18.79,18.99
20211227,THB,0.8114,0.8514
20211227,EUR,31.2,31.6
20211227,CNY,4.321,4.371
20211224,USD,27.685,27.785
20211224,HKD,3.526,3.586
20211224,GBP,37.01,37.41
20211224,AUD,19.96,20.16
20211224,CAD,21.53,21.73
20211224,SGD,20.34,20.52
20211224,CHF,30.11,30.36
20211224,JPY,0.2406,0.2446
20211224,ZAR,1.734,1.814
20211224,SEK,3.01,3.11
20211224,NZD,18.81,19.01
20211224,THB,0.8139,0.8539
20211224,EUR,31.24,31.64
20211224,CNY,4.325,4.375
20211223,USD,27.74,27.84
20211223,HKD,3.533,3.593
20211223,GBP,36.97,37.37
20211223,AUD,19.97,20.17
20211223,CAD,21.57,21.77
20211223,SGD,20.34,20.52
